neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,instant_bookable,bedrooms,bed_type,beds,cleaning_fee,availability_365,guests_included,extra_people,minimum_nights,cancellation_policy,high_end_electronics,smoke_detector,washing_machine,heating,hair_dryer,hangers,tv,kitchen,workspace,internet,price
Roslindale,House,Entire home/apt,4,1.5,f,2.0,Real Bed,3.0,35.0,0,1,0.0,2,moderate,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,250.0000000000001
Roslindale,Apartment,Private room,2,1.0,t,1.0,Real Bed,1.0,10.0,359,0,0.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,64.99999999999997
Roslindale,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,0.0,319,1,20.0,3,moderate,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,64.99999999999997
Roslindale,House,Private room,4,1.0,f,1.0,Real Bed,2.0,50.0,98,2,25.0,1,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0
Roslindale,House,Private room,2,1.5,f,1.0,Real Bed,2.0,15.0,334,1,0.0,2,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,78.99999999999997
Roslindale,Condominium,Private room,2,1.0,f,1.0,Real Bed,1.0,30.0,58,1,0.0,2,flexible,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,75.0
Roslindale,Apartment,Entire home/apt,3,1.0,f,1.0,Real Bed,2.0,0.0,344,1,25.0,1,strict,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,100.00000000000003
Roslindale,House,Private room,2,2.0,f,1.0,Real Bed,1.0,10.0,365,1,15.0,1,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,75.0
Roslindale,Condominium,Private room,2,1.0,f,1.0,Real Bed,2.0,0.0,347,2,0.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,58.000000000000014
Roslindale,Apartment,Entire home/apt,5,1.0,f,2.0,Real Bed,2.0,50.0,107,4,25.0,4,strict,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,229.00000000000006
Roslindale,House,Private room,2,1.0,f,1.0,Real Bed,1.0,30.0,343,1,10.0,1,flexible,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,60.00000000000001
Roslindale,House,Private room,1,1.0,f,1.0,Real Bed,1.0,40.0,341,1,0.0,1,flexible,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,56.999999999999986
Roslindale,Condominium,Entire home/apt,4,1.0,t,2.0,Real Bed,2.0,40.0,0,1,0.0,1,flexible,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,93.0
Roslindale,Apartment,Entire home/apt,5,1.0,f,2.0,Real Bed,3.0,50.0,129,5,30.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,150.0
Roslindale,House,Entire home/apt,2,1.5,f,2.0,Real Bed,2.0,150.0,319,2,35.0,3,moderate,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,145.0
Roslindale,Apartment,Private room,1,0.0,t,1.0,Real Bed,1.0,0.0,339,1,0.0,1,strict,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,60.00000000000001
