neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,instant_bookable,bedrooms,bed_type,beds,price,cleaning_fee,availability_365,guests_included,extra_people,security_deposit,minimum_nights,cancellation_policy,breakfast,high_end_electronics,smoke_detector,pets_allowed,secure,washing_machine,heating,Hot_Tub,hair_dryer,hangers,elevator,fire_extinguisher,free_parking,gym,tv,kitchen,workspace,room_key,pool,wheelchair_access,internet,firstAid_kit,log_price
Roslindale,House,Entire home/apt,4,1.5,f,2.0,Real Bed,3.0,250.0,35,0,1,0,0,2,moderate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.5254529391317835
Roslindale,Apartment,Private room,2,1.0,t,1.0,Real Bed,1.0,65.0,10,359,0,0,95,2,moderate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.189654742026425
Roslindale,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,65.0,0,319,1,20,0,3,moderate,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.189654742026425
Roslindale,House,Private room,4,1.0,f,1.0,Real Bed,2.0,75.0,50,98,2,25,100,1,moderate,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.330733340286331
Roslindale,House,Private room,2,1.5,f,1.0,Real Bed,2.0,79.0,15,334,1,0,0,2,flexible,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.382026634673881
Roslindale,Other,Private room,2,1.0,f,1.0,Real Bed,1.0,75.0,30,58,1,0,0,2,flexible,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.330733340286331
Roslindale,Apartment,Entire home/apt,3,1.0,f,1.0,Real Bed,2.0,100.0,0,344,1,25,0,1,strict,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.61512051684126
Roslindale,House,Private room,2,2.0,f,1.0,Real Bed,1.0,75.0,10,365,1,15,0,1,moderate,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.330733340286331
Roslindale,Other,Private room,2,1.0,f,1.0,Real Bed,2.0,58.0,0,347,2,0,0,2,moderate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.07753744390572
Roslindale,Apartment,Entire home/apt,5,1.0,f,2.0,Real Bed,2.0,229.0,50,107,4,25,200,4,strict,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.438079308923196
Roslindale,House,Private room,2,1.0,f,1.0,Real Bed,1.0,60.0,30,343,1,10,0,1,flexible,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.110873864173311
Roslindale,House,Private room,1,1.0,f,1.0,Real Bed,1.0,57.0,40,341,1,0,0,1,flexible,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.060443010546419
