neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,instant_bookable,bedrooms,bed_type,beds,price,cleaning_fee,availability_365,guests_included,extra_people,minimum_nights,cancellation_policy,high_end_electronics,smoke_detector,washing_machine,heating,hair_dryer,hangers,tv,kitchen,workspace,internet,log_price
Roslindale,House,Entire home/apt,4,1.5,f,2.0,Real Bed,3.0,250.0,35.0,0,1,0.0,2,moderate,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.525452939131784
Roslindale,Apartment,Private room,2,1.0,t,1.0,Real Bed,1.0,65.0,10.0,359,0,0.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.189654742026425
Roslindale,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,65.0,0.0,319,1,20.0,3,moderate,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.189654742026425
Roslindale,House,Private room,4,1.0,f,1.0,Real Bed,2.0,75.0,50.0,98,2,25.0,1,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.330733340286331
Roslindale,House,Private room,2,1.5,f,1.0,Real Bed,2.0,79.0,15.0,334,1,0.0,2,flexible,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.382026634673881
Roslindale,Condominium,Private room,2,1.0,f,1.0,Real Bed,1.0,75.0,30.0,58,1,0.0,2,flexible,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.330733340286331
Roslindale,Apartment,Entire home/apt,3,1.0,f,1.0,Real Bed,2.0,100.0,0.0,344,1,25.0,1,strict,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.61512051684126
Roslindale,House,Private room,2,2.0,f,1.0,Real Bed,1.0,75.0,10.0,365,1,15.0,1,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.330733340286331
Roslindale,Condominium,Private room,2,1.0,f,1.0,Real Bed,2.0,58.0,0.0,347,2,0.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.07753744390572
Roslindale,Apartment,Entire home/apt,5,1.0,f,2.0,Real Bed,2.0,229.0,50.0,107,4,25.0,4,strict,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.438079308923196
Roslindale,House,Private room,2,1.0,f,1.0,Real Bed,1.0,60.0,30.0,343,1,10.0,1,flexible,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.110873864173311
Roslindale,House,Private room,1,1.0,f,1.0,Real Bed,1.0,57.0,40.0,341,1,0.0,1,flexible,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.060443010546419
Roslindale,Condominium,Entire home/apt,4,1.0,t,2.0,Real Bed,2.0,93.0,40.0,0,1,0.0,1,flexible,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.543294782270004
Roslindale,Apartment,Entire home/apt,5,1.0,f,2.0,Real Bed,3.0,150.0,50.0,129,5,30.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.017279836814924
Roslindale,House,Entire home/apt,2,1.5,f,2.0,Real Bed,2.0,145.0,150.0,319,2,35.0,3,moderate,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.983606621708336
Roslindale,Apartment,Private room,1,0.0,t,1.0,Real Bed,1.0,60.0,0.0,339,1,0.0,1,strict,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.110873864173311
Roslindale,House,Private room,4,1.0,f,1.0,Real Bed,3.0,165.0,50.0,349,3,15.0,3,flexible,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.111987788356544
Roslindale,Condominium,Private room,2,1.0,t,1.0,Real Bed,1.0,75.0,20.0,0,1,15.0,1,flexible,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.330733340286331
Roslindale,House,Private room,1,1.0,f,1.0,Real Bed,1.0,49.0,0.0,295,1,10.0,5,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.912023005428146
Roslindale,House,Private room,2,1.0,f,1.0,Real Bed,1.0,49.0,0.0,262,1,10.0,5,strict,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.912023005428146
Roslindale,Villa,Private room,1,2.5,f,1.0,Real Bed,1.0,40.0,0.0,332,1,0.0,2,flexible,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.713572066704308
Roslindale,House,Entire home/apt,3,1.0,t,0.0,Real Bed,2.0,120.0,50.0,207,3,0.0,2,moderate,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.795790545596741
Roslindale,Apartment,Private room,2,0.0,t,1.0,Real Bed,1.0,70.0,0.0,299,1,10.0,1,strict,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.262679877041316
Roslindale,House,Entire home/apt,8,1.0,f,3.0,Real Bed,5.0,150.0,100.0,0,6,0.0,3,flexible,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.017279836814924
Roslindale,House,Entire home/apt,5,3.5,f,4.0,Real Bed,3.0,175.0,100.0,0,1,0.0,14,moderate,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.170483995038151
Roslindale,House,Private room,2,1.5,f,1.0,Real Bed,1.0,95.0,10.0,1,1,0.0,1,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.564348191467836
Roslindale,Apartment,Private room,2,1.0,f,1.0,Real Bed,1.0,90.0,0.0,122,1,0.0,1,strict,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.51085950651685
Roslindale,House,Private room,2,1.0,f,1.0,Real Bed,1.0,95.0,15.0,107,1,0.0,2,moderate,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.564348191467836
Roslindale,Apartment,Private room,2,1.0,f,1.0,Real Bed,2.0,100.0,0.0,356,1,100.0,1,flexible,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.61512051684126
Roslindale,House,Private room,2,1.0,f,1.0,Real Bed,1.0,67.0,40.0,310,1,5.0,1,flexible,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.219507705176107
Roslindale,Condominium,Private room,1,1.0,f,1.0,Real Bed,1.0,55.0,0.0,129,1,0.0,1,flexible,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.02535169073515
Roslindale,Apartment,Entire home/apt,6,1.0,t,2.0,Real Bed,2.0,200.0,85.0,353,4,20.0,2,strict,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.303304908059076
Roslindale,Apartment,Entire home/apt,4,1.0,t,1.0,Real Bed,2.0,150.0,0.0,17,1,0.0,1,flexible,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,5.017279836814924
Roslindale,House,Private room,1,1.0,f,1.0,Real Bed,1.0,49.0,0.0,325,1,10.0,5,strict,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.912023005428146
